Lower layer Super Output Areas Code,Household type (6 categories),Observation
E01004708,Lone parent household,71
E01004708,Multi-person household,76
E01004709,Does not apply,0
E01004709,One-person household,248
E01004709,Married or civil partnership couple household,232
E01004709,Cohabiting couple household,77
E01004709,Lone parent household,91
E01004709,Multi-person household,68
E01004710,Does not apply,0
E01004710,One-person household,207
E01004710,Married or civil partnership couple household,225
E01004710,Cohabiting couple household,96
E01004710,Lone parent household,138
E01004710,Multi-person household,55
E01004711,Does not apply,0
E01004711,One-person household,235
E01004711,Married or civil partnership couple household,228
E01004711,Cohabiting couple household,73
E01004711,Lone parent household,189
E01004711,Multi-person household,92
E01004712,Does not apply,0
E01004712,One-person household,342
E01004712,Married or civil partnership couple household,200
E01004712,Cohabiting couple household,80
E01004712,Lone parent household,40
E01004712,Multi-person household,73
E01004713,Does not apply,0
E01004713,One-person household,333
E01004713,Married or civil partnership couple household,197
E01004713,Cohabiting couple household,82
E01004713,Lone parent household,28
E01004713,Multi-person household,56
E01004714,Does not apply,0
E01004714,One-person household,359
E01004714,Married or civil partnership couple household,230
E01004714,Cohabiting couple household,116
E01004714,Lone parent household,37
E01004714,Multi-person household,81
E01004715,Does not apply,0
E01004715,One-person household,433
E01004715,Married or civil partnership couple household,134
E01004715,Cohabiting couple household,101
E01004715,Lone parent household,81
E01004715,Multi-person household,80
E01004716,Does not apply,0
E01004716,One-person household,223
E01004716,Married or civil partnership couple household,164
E01004716,Cohabiting couple household,59
E01004716,Lone parent household,30
E01004716,Multi-person household,56
E01004717,Does not apply,0
E01004717,One-person household,379
E01004717,Married or civil partnership couple household,142
E01004717,Cohabiting couple household,78
E01004717,Lone parent household,35
E01004717,Multi-person household,112
E01004718,Does not apply,0
E01004718,One-person household,288
E01004718,Married or civil partnership couple household,183
E01004718,Cohabiting couple household,86
E01004718,Lone parent household,180
E01004718,Multi-person household,56
E01004719,Does not apply,0
E01004719,One-person household,245
E01004719,Married or civil partnership couple household,208
E01004719,Cohabiting couple household,86
E01004719,Lone parent household,179
E01004719,Multi-person household,62
E01004720,Does not apply,0
E01004720,One-person household,210
E01004720,Married or civil partnership couple household,268
E01004720,Cohabiting couple household,121
E01004720,Lone parent household,205
E01004720,Multi-person household,51
E01004721,Does not apply,0
E01004721,One-person household,326
E01004721,Married or civil partnership couple household,209
E01004721,Cohabiting couple household,56
E01004721,Lone parent household,194
E01004721,Multi-person household,54
E01004722,Does not apply,0
E01004722,One-person household,214
E01004722,Married or civil partnership couple household,301
E01004722,Cohabiting couple household,69
E01004722,Lone parent household,235
E01004722,Multi-person household,49
E01004723,Does not apply,0
E01004723,One-person household,326
E01004723,Married or civil partnership couple household,227
E01004723,Cohabiting couple household,120
E01004723,Lone parent household,192
E01004723,Multi-person household,97
E01004724,Does not apply,0
E01004724,One-person household,364
E01004724,Married or civil partnership couple household,287
E01004724,Cohabiting couple household,82
E01004724,Lone parent household,85
E01004724,Multi-person household,55
E01004725,Does not apply,0
E01004725,One-person household,230
E01004725,Married or civil partnership couple household,173
E01004725,Cohabiting couple household,36
E01004725,Lone parent household,94
E01004725,Multi-person household,53
E01004726,Does not apply,0
E01004726,One-person household,331
E01004726,Married or civil partnership couple household,283
E01004726,Cohabiting couple household,60
E01004726,Lone parent household,63
E01004726,Multi-person household,56
E01004727,Does not apply,0
E01004727,One-person household,340
E01004727,Married or civil partnership couple household,231
E01004727,Cohabiting couple household,71
E01004727,Lone parent household,39
E01004727,Multi-person household,83
E01004728,Does not apply,0
E01004728,One-person household,311
E01004728,Married or civil partnership couple household,202
E01004728,Cohabiting couple household,82
E01004728,Lone parent household,72
E01004728,Multi-person household,62
E01004729,Does not apply,0
E01004729,One-person household,373
E01004729,Married or civil partnership couple household,203
E01004729,Cohabiting couple household,32
E01004729,Lone parent household,78
E01004729,Multi-person household,53
E01004730,Does not apply,0
E01004730,One-person household,250
E01004730,Married or civil partnership couple household,259
E01004730,Cohabiting couple household,55
E01004730,Lone parent household,59
E01004730,Multi-person household,75
E01004731,Does not apply,0
E01004731,One-person household,469
E01004731,Married or civil partnership couple household,270
E01004731,Cohabiting couple household,115
E01004731,Lone parent household,63
E01004731,Multi-person household,119
E01004732,Does not apply,0
E01004732,One-person household,371
E01004732,Married or civil partnership couple household,126
E01004732,Cohabiting couple household,42
E01004732,Lone parent household,114
E01004732,Multi-person household,38
E01004733,Does not apply,0
E01004733,One-person household,404
E01004733,Married or civil partnership couple household,228
E01004733,Cohabiting couple household,117
E01004733,Lone parent household,76
E01004733,Multi-person household,121
E01004734,Does not apply,0
E01004734,One-person household,559
E01004734,Married or civil partnership couple household,140
E01004734,Cohabiting couple household,119
E01004734,Lone parent household,69
E01004734,Multi-person household,118
E01004735,Does not apply,0
E01004735,One-person household,696
E01004735,Married or civil partnership couple household,149
E01004735,Cohabiting couple household,151
E01004735,Lone parent household,77
E01004735,Multi-person household,81
E01004736,Does not apply,0
E01004736,One-person household,301
E01004736,Married or civil partnership couple household,146
E01004736,Cohabiting couple household,60
E01004736,Lone parent household,23
E01004736,Multi-person household,50
E01004737,Does not apply,0
E01004737,One-person household,261
E01004737,Married or civil partnership couple household,154
E01004737,Cohabiting couple household,61
E01004737,Lone parent household,96
E01004737,Multi-person household,30
E01004740,Does not apply,0
E01004740,One-person household,333
E01004740,Married or civil partnership couple household,146
E01004740,Cohabiting couple household,60
E01004740,Lone parent household,88
E01004740,Multi-person household,35
E01004741,Does not apply,0
E01004741,One-person household,322
E01004741,Married or civil partnership couple household,133
E01004741,Cohabiting couple household,94
E01004741,Lone parent household,67
E01004741,Multi-person household,52
E01004742,Does not apply,0
E01004742,One-person household,331
E01004742,Married or civil partnership couple household,132
E01004742,Cohabiting couple household,93
E01004742,Lone parent household,63
E01004742,Multi-person household,87
E01004743,Does not apply,0
E01004743,One-person household,298
E01004743,Married or civil partnership couple household,186
E01004743,Cohabiting couple household,76
E01004743,Lone parent household,101
E01004743,Multi-person household,60
E01004744,Does not apply,0
E01004744,One-person household,360
E01004744,Married or civil partnership couple household,211
E01004744,Cohabiting couple household,47
E01004744,Lone parent household,62
E01004744,Multi-person household,55
E01004746,Does not apply,0
E01004746,One-person household,350
E01004746,Married or civil partnership couple household,115
E01004746,Cohabiting couple household,64
E01004746,Lone parent household,93
E01004746,Multi-person household,51
E01004747,Does not apply,0
E01004747,One-person household,445
E01004747,Married or civil partnership couple household,238
E01004747,Cohabiting couple household,118
E01004747,Lone parent household,124
E01004747,Multi-person household,125
E01004748,Does not apply,0
E01004748,One-person household,212
E01004748,Married or civil partnership couple household,184
E01004748,Cohabiting couple household,39
E01004748,Lone parent household,33
E01004748,Multi-person household,51
E01004749,Does not apply,0
E01004749,One-person household,430
E01004749,Married or civil partnership couple household,266
E01004749,Cohabiting couple household,135
E01004749,Lone parent household,109
E01004749,Multi-person household,112
E01004750,Does not apply,0
E01004750,One-person household,429
E01004750,Married or civil partnership couple household,148
E01004750,Cohabiting couple household,71
E01004750,Lone parent household,93
E01004750,Multi-person household,97
E01004751,Does not apply,0
E01004751,One-person household,339
E01004751,Married or civil partnership couple household,201
E01004751,Cohabiting couple household,111
E01004751,Lone parent household,50
E01004751,Multi-person household,69
E01004752,Does not apply,0
E01004752,One-person household,350
E01004752,Married or civil partnership couple household,120
E01004752,Cohabiting couple household,107
E01004752,Lone parent household,71
E01004752,Multi-person household,57
E01004753,Does not apply,0
E01004753,One-person household,458
E01004753,Married or civil partnership couple household,187
E01004753,Cohabiting couple household,117
E01004753,Lone parent household,50
E01004753,Multi-person household,110
E01004754,Does not apply,0
E01004754,One-person household,223
E01004754,Married or civil partnership couple household,182
E01004754,Cohabiting couple household,60
E01004754,Lone parent household,151
E01004754,Multi-person household,63
E01004755,Does not apply,0
E01004755,One-person household,362
E01004755,Married or civil partnership couple household,265
E01004755,Cohabiting couple household,118
E01004755,Lone parent household,155
E01004755,Multi-person household,92
E01004756,Does not apply,0
E01004756,One-person household,319
E01004756,Married or civil partnership couple household,149
E01004756,Cohabiting couple household,103
E01004756,Lone parent household,102
E01004756,Multi-person household,79
E01004757,Does not apply,0
E01004757,One-person household,165
E01004757,Married or civil partnership couple household,180
E01004757,Cohabiting couple household,43
E01004757,Lone parent household,166
E01004757,Multi-person household,68
E01004760,Does not apply,0
E01004760,One-person household,262
E01004760,Married or civil partnership couple household,196
E01004760,Cohabiting couple household,75
E01004760,Lone parent household,106
E01004760,Multi-person household,58
E01004761,Does not apply,0
E01004761,One-person household,384
E01004761,Married or civil partnership couple household,161
E01004761,Cohabiting couple household,53
E01004761,Lone parent household,47
E01004761,Multi-person household,52
E01004762,Does not apply,0
E01004762,One-person household,385
E01004762,Married or civil partnership couple household,215
E01004762,Cohabiting couple household,60
E01004762,Lone parent household,64
E01004762,Multi-person household,39
E01004763,Does not apply,0
E01004763,One-person household,598
E01004763,Married or civil partnership couple household,132
E01004763,Cohabiting couple household,172
E01004763,Lone parent household,61
E01004763,Multi-person household,154
E01004765,Does not apply,0
E01004765,One-person household,524
E01004765,Married or civil partnership couple household,196
E01004765,Cohabiting couple household,110
E01004765,Lone parent household,82
E01004765,Multi-person household,134
E01032512,Does not apply,0
E01032512,One-person household,314
E01032512,Married or civil partnership couple household,226
E01032512,Cohabiting couple household,71
E01032512,Lone parent household,261
E01032512,Multi-person household,22
E01032513,Does not apply,0
E01032513,One-person household,212
E01032513,Married or civil partnership couple household,123
E01032513,Cohabiting couple household,41
E01032513,Lone parent household,119
E01032513,Multi-person household,34
E01032562,Does not apply,0
E01032562,One-person household,171
E01032562,Married or civil partnership couple household,180
E01032562,Cohabiting couple household,62
E01032562,Lone parent household,185
E01032562,Multi-person household,22
E01032563,Does not apply,0
E01032563,One-person household,144
E01032563,Married or civil partnership couple household,310
E01032563,Cohabiting couple household,56
E01032563,Lone parent household,49
E01032563,Multi-person household,7
E01032564,Does not apply,0
E01032564,One-person household,105
E01032564,Married or civil partnership couple household,119
E01032564,Cohabiting couple household,70
E01032564,Lone parent household,184
E01032564,Multi-person household,14
E01032565,Does not apply,0
E01032565,One-person household,223
E01032565,Married or civil partnership couple household,165
E01032565,Cohabiting couple household,48
E01032565,Lone parent household,133
E01032565,Multi-person household,33
E01032566,Does not apply,0
E01032566,One-person household,217
E01032566,Married or civil partnership couple household,302
E01032566,Cohabiting couple household,81
E01032566,Lone parent household,131
E01032566,Multi-person household,21
E01032567,Does not apply,0
E01032567,One-person household,157
E01032567,Married or civil partnership couple household,257
E01032567,Cohabiting couple household,68
E01032567,Lone parent household,109
E01032567,Multi-person household,9
E01032568,Does not apply,0
E01032568,One-person household,204
E01032568,Married or civil partnership couple household,218
E01032568,Cohabiting couple household,81
E01032568,Lone parent household,120
E01032568,Multi-person household,19
E01032569,Does not apply,0
E01032569,One-person household,182
E01032569,Married or civil partnership couple household,172
E01032569,Cohabiting couple household,62
E01032569,Lone parent household,250
E01032569,Multi-person household,16
E01032570,Does not apply,0
E01032570,One-person household,208
E01032570,Married or civil partnership couple household,344
E01032570,Cohabiting couple household,83
E01032570,Lone parent household,91
E01032570,Multi-person household,5
E01032572,Does not apply,0
E01032572,One-person household,283
E01032572,Married or civil partnership couple household,246
E01032572,Cohabiting couple household,112
E01032572,Lone parent household,57
E01032572,Multi-person household,56
E01032573,Does not apply,0
E01032573,One-person household,363
E01032573,Married or civil partnership couple household,283
E01032573,Cohabiting couple household,141
E01032573,Lone parent household,59
E01032573,Multi-person household,57
E01032574,Does not apply,0
E01032574,One-person household,160
E01032574,Married or civil partnership couple household,277
E01032574,Cohabiting couple household,55
E01032574,Lone parent household,173
E01032574,Multi-person household,28
E01032575,Does not apply,0
E01032575,One-person household,172
E01032575,Married or civil partnership couple household,197
E01032575,Cohabiting couple household,48
E01032575,Lone parent household,213
E01032575,Multi-person household,28
E01032576,Does not apply,0
E01032576,One-person household,64
E01032576,Married or civil partnership couple household,355
E01032576,Cohabiting couple household,30
E01032576,Lone parent household,58
E01032576,Multi-person household,8
E01032577,Does not apply,0
E01032577,One-person household,98
E01032577,Married or civil partnership couple household,355
E01032577,Cohabiting couple household,51
E01032577,Lone parent household,93
E01032577,Multi-person household,12
E01032579,Does not apply,0
E01032579,One-person household,345
E01032579,Married or civil partnership couple household,209
E01032579,Cohabiting couple household,175
E01032579,Lone parent household,144
E01032579,Multi-person household,100
E01032580,Does not apply,0
E01032580,One-person household,87
E01032580,Married or civil partnership couple household,237
E01032580,Cohabiting couple household,45
E01032580,Lone parent household,103
E01032580,Multi-person household,14
E01032581,Does not apply,0
E01032581,One-person household,237
E01032581,Married or civil partnership couple household,280
E01032581,Cohabiting couple household,71
E01032581,Lone parent household,136
E01032581,Multi-person household,19
E01032582,Does not apply,0
E01032582,One-person household,504
E01032582,Married or civil partnership couple household,175
E01032582,Cohabiting couple household,146
E01032582,Lone parent household,143
E01032582,Multi-person household,197
E01032583,Does not apply,0
E01032583,One-person household,341
E01032583,Married or civil partnership couple household,172
E01032583,Cohabiting couple household,123
E01032583,Lone parent household,157
E01032583,Multi-person household,125
E01032584,Does not apply,0
E01032584,One-person household,195
E01032584,Married or civil partnership couple household,112
E01032584,Cohabiting couple household,85
E01032584,Lone parent household,90
E01032584,Multi-person household,85
E01032623,Does not apply,0
E01032623,One-person household,84
E01032623,Married or civil partnership couple household,461
E01032623,Cohabiting couple household,25
E01032623,Lone parent household,24
E01032623,Multi-person household,11
E01032637,Does not apply,0
E01032637,One-person household,261
E01032637,Married or civil partnership couple household,86
E01032637,Cohabiting couple household,147
E01032637,Lone parent household,7
E01032637,Multi-person household,64
E01032638,Does not apply,0
E01032638,One-person household,223
E01032638,Married or civil partnership couple household,135
E01032638,Cohabiting couple household,127
E01032638,Lone parent household,20
E01032638,Multi-person household,94
E01032639,Does not apply,0
E01032639,One-person household,274
E01032639,Married or civil partnership couple household,105
E01032639,Cohabiting couple household,145
E01032639,Lone parent household,82
E01032639,Multi-person household,175
E01032640,Does not apply,0
E01032640,One-person household,268
E01032640,Married or civil partnership couple household,140
E01032640,Cohabiting couple household,123
E01032640,Lone parent household,10
E01032640,Multi-person household,69
E01032646,Does not apply,0
E01032646,One-person household,329
E01032646,Married or civil partnership couple household,136
E01032646,Cohabiting couple household,156
E01032646,Lone parent household,55
E01032646,Multi-person household,130
E01032719,Does not apply,0
E01032719,One-person household,409
E01032719,Married or civil partnership couple household,111
E01032719,Cohabiting couple household,99
E01032719,Lone parent household,102
E01032719,Multi-person household,84
E01032739,Does not apply,0
E01032739,One-person household,424
E01032739,Married or civil partnership couple household,137
E01032739,Cohabiting couple household,171
E01032739,Lone parent household,17
E01032739,Multi-person household,129
E01032740,Does not apply,0
E01032740,One-person household,501
E01032740,Married or civil partnership couple household,136
E01032740,Cohabiting couple household,142
E01032740,Lone parent household,18
E01032740,Multi-person household,82
E01032741,Does not apply,0
E01032741,One-person household,318
E01032741,Married or civil partnership couple household,184
E01032741,Cohabiting couple household,115
E01032741,Lone parent household,72
E01032741,Multi-person household,41
E01032742,Does not apply,0
E01032742,One-person household,323
E01032742,Married or civil partnership couple household,282
E01032742,Cohabiting couple household,103
E01032742,Lone parent household,87
E01032742,Multi-person household,37
E01032743,Does not apply,0
E01032743,One-person household,189
E01032743,Married or civil partnership couple household,346
E01032743,Cohabiting couple household,64
E01032743,Lone parent household,206
E01032743,Multi-person household,15
E01032744,Does not apply,0
E01032744,One-person household,127
E01032744,Married or civil partnership couple household,247
E01032744,Cohabiting couple household,32
E01032744,Lone parent household,92
E01032744,Multi-person household,20
E01032764,Does not apply,0
E01032764,One-person household,330
E01032764,Married or civil partnership couple household,195
E01032764,Cohabiting couple household,298
E01032764,Lone parent household,106
E01032764,Multi-person household,130
E01032765,Does not apply,0
E01032765,One-person household,237
E01032765,Married or civil partnership couple household,175
E01032765,Cohabiting couple household,119
E01032765,Lone parent household,115
E01032765,Multi-person household,94
E01032767,Does not apply,0
E01032767,One-person household,321
E01032767,Married or civil partnership couple household,118
E01032767,Cohabiting couple household,148
E01032767,Lone parent household,20
E01032767,Multi-person household,186
E01032768,Does not apply,0
E01032768,One-person household,252
E01032768,Married or civil partnership couple household,152
E01032768,Cohabiting couple household,171
E01032768,Lone parent household,30
E01032768,Multi-person household,80
E01032769,Does not apply,0
E01032769,One-person household,247
E01032769,Married or civil partnership couple household,176
E01032769,Cohabiting couple household,89
E01032769,Lone parent household,41
E01032769,Multi-person household,80
E01032770,Does not apply,0
E01032770,One-person household,453
E01032770,Married or civil partnership couple household,246
E01032770,Cohabiting couple household,151
E01032770,Lone parent household,69
E01032770,Multi-person household,163
E01032771,Does not apply,0
E01032771,One-person household,342
E01032771,Married or civil partnership couple household,193
E01032771,Cohabiting couple household,107
E01032771,Lone parent household,41
E01032771,Multi-person household,96
E01032772,Does not apply,0
E01032772,One-person household,554
E01032772,Married or civil partnership couple household,276
E01032772,Cohabiting couple household,155
E01032772,Lone parent household,102
E01032772,Multi-person household,92
E01032774,Does not apply,0
E01032774,One-person household,187
E01032774,Married or civil partnership couple household,238
E01032774,Cohabiting couple household,78
E01032774,Lone parent household,113
E01032774,Multi-person household,113
E01032775,Does not apply,0
E01032775,One-person household,177
E01032775,Married or civil partnership couple household,215
E01032775,Cohabiting couple household,96
E01032775,Lone parent household,27
E01032775,Multi-person household,48
E01032776,Does not apply,0
E01032776,One-person household,470
E01032776,Married or civil partnership couple household,252
E01032776,Cohabiting couple household,171
E01032776,Lone parent household,51
E01032776,Multi-person household,107
E01032777,Does not apply,0
E01032777,One-person household,206
E01032777,Married or civil partnership couple household,177
E01032777,Cohabiting couple household,73
E01032777,Lone parent household,63
E01032777,Multi-person household,56
E01032779,Does not apply,0
E01032779,One-person household,205
E01032779,Married or civil partnership couple household,186
E01032779,Cohabiting couple household,106
E01032779,Lone parent household,60
E01032779,Multi-person household,97
E01032780,Does not apply,0
E01032780,One-person household,407
E01032780,Married or civil partnership couple household,254
E01032780,Cohabiting couple household,169
E01032780,Lone parent household,61
E01032780,Multi-person household,118
E01032781,Does not apply,0
E01032781,One-person household,243
E01032781,Married or civil partnership couple household,260
E01032781,Cohabiting couple household,119
E01032781,Lone parent household,51
E01032781,Multi-person household,88
E01032782,Does not apply,0
E01032782,One-person household,539
E01032782,Married or civil partnership couple household,248
E01032782,Cohabiting couple household,190
E01032782,Lone parent household,78
E01032782,Multi-person household,80
E01032783,Does not apply,0
E01032783,One-person household,198
E01032783,Married or civil partnership couple household,156
E01032783,Cohabiting couple household,71
E01032783,Lone parent household,75
E01032783,Multi-person household,80
E01032784,Does not apply,0
E01032784,One-person household,219
E01032784,Married or civil partnership couple household,164
E01032784,Cohabiting couple household,167
E01032784,Lone parent household,64
E01032784,Multi-person household,130
E01032785,Does not apply,0
E01032785,One-person household,284
E01032785,Married or civil partnership couple household,271
E01032785,Cohabiting couple household,236
E01032785,Lone parent household,126
E01032785,Multi-person household,108
E01032786,Does not apply,0
E01032786,One-person household,189
E01032786,Married or civil partnership couple household,197
E01032786,Cohabiting couple household,83
E01032786,Lone parent household,94
E01032786,Multi-person household,58
E01032787,Does not apply,0
E01032787,One-person household,173
E01032787,Married or civil partnership couple household,316
E01032787,Cohabiting couple household,84
E01032787,Lone parent household,115
E01032787,Multi-person household,87
E01032788,Does not apply,0
E01032788,One-person household,224
E01032788,Married or civil partnership couple household,161
E01032788,Cohabiting couple household,139
E01032788,Lone parent household,104
E01032788,Multi-person household,84
E01032789,Does not apply,0
E01032789,One-person household,245
E01032789,Married or civil partnership couple household,149
E01032789,Cohabiting couple household,52
E01032789,Lone parent household,108
E01032789,Multi-person household,40
E01032790,Does not apply,0
E01032790,One-person household,161
E01032790,Married or civil partnership couple household,142
E01032790,Cohabiting couple household,51
E01032790,Lone parent household,89
E01032790,Multi-person household,45
E01032803,Does not apply,0
E01032803,One-person household,286
E01032803,Married or civil partnership couple household,127
E01032803,Cohabiting couple household,169
E01032803,Lone parent household,61
E01032803,Multi-person household,145
E01032834,Does not apply,0
E01032834,One-person household,272
E01032834,Married or civil partnership couple household,130
E01032834,Cohabiting couple household,152
E01032834,Lone parent household,9
E01032834,Multi-person household,57
E01033000,Does not apply,0
E01033000,One-person household,161
E01033000,Married or civil partnership couple household,206
E01033000,Cohabiting couple household,63
E01033000,Lone parent household,180
E01033000,Multi-person household,16
E01033030,Does not apply,0
E01033030,One-person household,158
E01033030,Married or civil partnership couple household,382
E01033030,Cohabiting couple household,71
E01033030,Lone parent household,77
E01033030,Multi-person household,32
E01033081,Does not apply,0
E01033081,One-person household,319
E01033081,Married or civil partnership couple household,230
E01033081,Cohabiting couple household,107
E01033081,Lone parent household,88
E01033081,Multi-person household,33
E01033082,Does not apply,0
E01033082,One-person household,308
E01033082,Married or civil partnership couple household,150
E01033082,Cohabiting couple household,73
E01033082,Lone parent household,83
E01033082,Multi-person household,42
E01033083,Does not apply,0
E01033083,One-person household,137
E01033083,Married or civil partnership couple household,489
E01033083,Cohabiting couple household,59
E01033083,Lone parent household,58
E01033083,Multi-person household,47
E01033084,Does not apply,0
E01033084,One-person household,155
E01033084,Married or civil partnership couple household,307
E01033084,Cohabiting couple household,64
E01033084,Lone parent household,151
E01033084,Multi-person household,30
E01033086,Does not apply,0
E01033086,One-person household,191
E01033086,Married or civil partnership couple household,128
E01033086,Cohabiting couple household,41
E01033086,Lone parent household,125
E01033086,Multi-person household,27
E01033098,Does not apply,0
E01033098,One-person household,424
E01033098,Married or civil partnership couple household,214
E01033098,Cohabiting couple household,168
E01033098,Lone parent household,45
E01033098,Multi-person household,97
E01033099,Does not apply,0
E01033099,One-person household,314
E01033099,Married or civil partnership couple household,185
E01033099,Cohabiting couple household,153
E01033099,Lone parent household,139
E01033099,Multi-person household,119
E01033100,Does not apply,0
E01033100,One-person household,286
E01033100,Married or civil partnership couple household,148
E01033100,Cohabiting couple household,171
E01033100,Lone parent household,99
E01033100,Multi-person household,143
E01033132,Does not apply,0
E01033132,One-person household,527
E01033132,Married or civil partnership couple household,237
E01033132,Cohabiting couple household,201
E01033132,Lone parent household,89
E01033132,Multi-person household,91
E01033133,Does not apply,0
E01033133,One-person household,266
E01033133,Married or civil partnership couple household,123
E01033133,Cohabiting couple household,136
E01033133,Lone parent household,51
E01033133,Multi-person household,71
E01033135,Does not apply,0
E01033135,One-person household,98
E01033135,Married or civil partnership couple household,179
E01033135,Cohabiting couple household,90
E01033135,Lone parent household,37
E01033135,Multi-person household,62
E01033146,Does not apply,0
E01033146,One-person household,151
E01033146,Married or civil partnership couple household,169
E01033146,Cohabiting couple household,44
E01033146,Lone parent household,176
E01033146,Multi-person household,11
E01033148,Does not apply,0
E01033148,One-person household,123
E01033148,Married or civil partnership couple household,225
E01033148,Cohabiting couple household,95
E01033148,Lone parent household,208
E01033148,Multi-person household,22
E01033150,Does not apply,0
E01033150,One-person household,142
E01033150,Married or civil partnership couple household,163
E01033150,Cohabiting couple household,63
E01033150,Lone parent household,260
E01033150,Multi-person household,22
E01033151,Does not apply,0
E01033151,One-person household,125
E01033151,Married or civil partnership couple household,165
E01033151,Cohabiting couple household,39
E01033151,Lone parent household,166
E01033151,Multi-person household,7
E01033208,Does not apply,0
E01033208,One-person household,455
E01033208,Married or civil partnership couple household,172
E01033208,Cohabiting couple household,140
E01033208,Lone parent household,77
E01033208,Multi-person household,111
E01033320,Does not apply,0
E01033320,One-person household,180
E01033320,Married or civil partnership couple household,211
E01033320,Cohabiting couple household,119
E01033320,Lone parent household,88
E01033320,Multi-person household,40
E01033322,Does not apply,0
E01033322,One-person household,199
E01033322,Married or civil partnership couple household,142
E01033322,Cohabiting couple household,119
E01033322,Lone parent household,78
E01033322,Multi-person household,35
E01033324,Does not apply,0
E01033324,One-person household,186
E01033324,Married or civil partnership couple household,185
E01033324,Cohabiting couple household,109
E01033324,Lone parent household,104
E01033324,Multi-person household,44
E01033325,Does not apply,0
E01033325,One-person household,263
E01033325,Married or civil partnership couple household,165
E01033325,Cohabiting couple household,174
E01033325,Lone parent household,53
E01033325,Multi-person household,65
E01033327,Does not apply,0
E01033327,One-person household,372
E01033327,Married or civil partnership couple household,259
E01033327,Cohabiting couple household,174
E01033327,Lone parent household,94
E01033327,Multi-person household,105
E01033341,Does not apply,0
E01033341,One-person household,171
E01033341,Married or civil partnership couple household,124
E01033341,Cohabiting couple household,100
E01033341,Lone parent household,120
E01033341,Multi-person household,49
E01033455,Does not apply,0
E01033455,One-person household,177
E01033455,Married or civil partnership couple household,128
E01033455,Cohabiting couple household,45
E01033455,Lone parent household,119
E01033455,Multi-person household,30
E01033456,Does not apply,0
E01033456,One-person household,250
E01033456,Married or civil partnership couple household,238
E01033456,Cohabiting couple household,63
E01033456,Lone parent household,298
E01033456,Multi-person household,26
E01033457,Does not apply,0
E01033457,One-person household,117
E01033457,Married or civil partnership couple household,343
E01033457,Cohabiting couple household,21
E01033457,Lone parent household,67
E01033457,Multi-person household,33
E01033463,Does not apply,0
E01033463,One-person household,132
E01033463,Married or civil partnership couple household,583
E01033463,Cohabiting couple household,44
E01033463,Lone parent household,124
E01033463,Multi-person household,27
E01033485,Does not apply,0
E01033485,One-person household,279
E01033485,Married or civil partnership couple household,158
E01033485,Cohabiting couple household,60
E01033485,Lone parent household,160
E01033485,Multi-person household,50
E01033486,Does not apply,0
E01033486,One-person household,130
E01033486,Married or civil partnership couple household,109
E01033486,Cohabiting couple household,53
E01033486,Lone parent household,83
E01033486,Multi-person household,46
E01033487,Does not apply,0
E01033487,One-person household,185
E01033487,Married or civil partnership couple household,128
E01033487,Cohabiting couple household,128
E01033487,Lone parent household,48
E01033487,Multi-person household,104
E01033488,Does not apply,0
E01033488,One-person household,212
E01033488,Married or civil partnership couple household,117
E01033488,Cohabiting couple household,111
E01033488,Lone parent household,95
E01033488,Multi-person household,87
E01033489,Does not apply,0
E01033489,One-person household,284
E01033489,Married or civil partnership couple household,147
E01033489,Cohabiting couple household,143
E01033489,Lone parent household,35
E01033489,Multi-person household,70
E01033490,Does not apply,0
E01033490,One-person household,232
E01033490,Married or civil partnership couple household,111
E01033490,Cohabiting couple household,83
E01033490,Lone parent household,64
E01033490,Multi-person household,68
E01033491,Does not apply,0
E01033491,One-person household,389
E01033491,Married or civil partnership couple household,168
E01033491,Cohabiting couple household,199
E01033491,Lone parent household,93
E01033491,Multi-person household,117
E01033493,Does not apply,0
E01033493,One-person household,230
E01033493,Married or civil partnership couple household,167
E01033493,Cohabiting couple household,217
E01033493,Lone parent household,24
E01033493,Multi-person household,48
E01033494,Does not apply,0
E01033494,One-person household,210
E01033494,Married or civil partnership couple household,226
E01033494,Cohabiting couple household,104
E01033494,Lone parent household,37
E01033494,Multi-person household,74
E01033569,Does not apply,0
E01033569,One-person household,252
E01033569,Married or civil partnership couple household,309
E01033569,Cohabiting couple household,122
E01033569,Lone parent household,78
E01033569,Multi-person household,43
E01033570,Does not apply,0
E01033570,One-person household,250
E01033570,Married or civil partnership couple household,354
E01033570,Cohabiting couple household,110
E01033570,Lone parent household,101
E01033570,Multi-person household,20
E01033571,Does not apply,0
E01033571,One-person household,174
E01033571,Married or civil partnership couple household,288
E01033571,Cohabiting couple household,47
E01033571,Lone parent household,78
E01033571,Multi-person household,21
E01033579,Does not apply,0
E01033579,One-person household,271
E01033579,Married or civil partnership couple household,171
E01033579,Cohabiting couple household,214
E01033579,Lone parent household,72
E01033579,Multi-person household,171
E01033580,Does not apply,0
E01033580,One-person household,140
E01033580,Married or civil partnership couple household,215
E01033580,Cohabiting couple household,101
E01033580,Lone parent household,43
E01033580,Multi-person household,89
E01033581,Does not apply,0
E01033581,One-person household,211
E01033581,Married or civil partnership couple household,218
E01033581,Cohabiting couple household,83
E01033581,Lone parent household,178
E01033581,Multi-person household,54
E01033582,Does not apply,0
E01033582,One-person household,166
E01033582,Married or civil partnership couple household,194
