Lower layer Super Output Areas Code,Economic activity status (4 categories),Observation
E01004705,Economically inactive,280
E01004706,Does not apply,196
E01004706,Economically active: In employment (including full-time students),943
E01004706,Economically active: Unemployed (including full-time students),60
E01004706,Economically inactive,277
E01004707,Does not apply,277
E01004707,Economically active: In employment (including full-time students),1175
E01004707,Economically active: Unemployed (including full-time students),45
E01004707,Economically inactive,344
E01004708,Does not apply,200
E01004708,Economically active: In employment (including full-time students),880
E01004708,Economically active: Unemployed (including full-time students),77
E01004708,Economically inactive,382
E01004709,Does not apply,258
E01004709,Economically active: In employment (including full-time students),788
E01004709,Economically active: Unemployed (including full-time students),83
E01004709,Economically inactive,564
E01004710,Does not apply,362
E01004710,Economically active: In employment (including full-time students),851
E01004710,Economically active: Unemployed (including full-time students),104
E01004710,Economically inactive,636
E01004711,Does not apply,410
E01004711,Economically active: In employment (including full-time students),870
E01004711,Economically active: Unemployed (including full-time students),120
E01004711,Economically inactive,601
E01004712,Does not apply,136
E01004712,Economically active: In employment (including full-time students),778
E01004712,Economically active: Unemployed (including full-time students),55
E01004712,Economically inactive,479
E01004713,Does not apply,167
E01004713,Economically active: In employment (including full-time students),758
E01004713,Economically active: Unemployed (including full-time students),39
E01004713,Economically inactive,352
E01004714,Does not apply,182
E01004714,Economically active: In employment (including full-time students),975
E01004714,Economically active: Unemployed (including full-time students),44
E01004714,Economically inactive,467
E01004715,Does not apply,166
E01004715,Economically active: In employment (including full-time students),820
E01004715,Economically active: Unemployed (including full-time students),90
E01004715,Economically inactive,729
E01004716,Does not apply,126
E01004716,Economically active: In employment (including full-time students),591
E01004716,Economically active: Unemployed (including full-time students),28
E01004716,Economically inactive,298
E01004717,Does not apply,93
E01004717,Economically active: In employment (including full-time students),794
E01004717,Economically active: Unemployed (including full-time students),31
E01004717,Economically inactive,342
E01004718,Does not apply,265
E01004718,Economically active: In employment (including full-time students),922
E01004718,Economically active: Unemployed (including full-time students),97
E01004718,Economically inactive,575
E01004719,Does not apply,284
E01004719,Economically active: In employment (including full-time students),867
E01004719,Economically active: Unemployed (including full-time students),85
E01004719,Economically inactive,588
E01004720,Does not apply,424
E01004720,Economically active: In employment (including full-time students),981
E01004720,Economically active: Unemployed (including full-time students),169
E01004720,Economically inactive,700
E01004721,Does not apply,382
E01004721,Economically active: In employment (including full-time students),731
E01004721,Economically active: Unemployed (including full-time students),89
E01004721,Economically inactive,679
E01004722,Does not apply,524
E01004722,Economically active: In employment (including full-time students),1030
E01004722,Economically active: Unemployed (including full-time students),160
E01004722,Economically inactive,971
E01004723,Does not apply,356
E01004723,Economically active: In employment (including full-time students),1058
E01004723,Economically active: Unemployed (including full-time students),138
E01004723,Economically inactive,682
E01004724,Does not apply,235
E01004724,Economically active: In employment (including full-time students),974
E01004724,Economically active: Unemployed (including full-time students),53
E01004724,Economically inactive,632
E01004725,Does not apply,182
E01004725,Economically active: In employment (including full-time students),511
E01004725,Economically active: Unemployed (including full-time students),72
E01004725,Economically inactive,529
E01004726,Does not apply,246
E01004726,Economically active: In employment (including full-time students),815
E01004726,Economically active: Unemployed (including full-time students),65
E01004726,Economically inactive,563
E01004727,Does not apply,186
E01004727,Economically active: In employment (including full-time students),814
E01004727,Economically active: Unemployed (including full-time students),49
E01004727,Economically inactive,496
E01004728,Does not apply,155
E01004728,Economically active: In employment (including full-time students),708
E01004728,Economically active: Unemployed (including full-time students),58
E01004728,Economically inactive,533
E01004729,Does not apply,180
E01004729,Economically active: In employment (including full-time students),607
E01004729,Economically active: Unemployed (including full-time students),47
E01004729,Economically inactive,656
E01004730,Does not apply,184
E01004730,Economically active: In employment (including full-time students),700
E01004730,Economically active: Unemployed (including full-time students),41
E01004730,Economically inactive,536
E01004731,Does not apply,216
E01004731,Economically active: In employment (including full-time students),1238
E01004731,Economically active: Unemployed (including full-time students),56
E01004731,Economically inactive,493
E01004732,Does not apply,167
E01004732,Economically active: In employment (including full-time students),514
E01004732,Economically active: Unemployed (including full-time students),79
E01004732,Economically inactive,549
E01004733,Does not apply,253
E01004733,Economically active: In employment (including full-time students),1132
E01004733,Economically active: Unemployed (including full-time students),70
E01004733,Economically inactive,647
E01004734,Does not apply,94
E01004734,Economically active: In employment (including full-time students),891
E01004734,Economically active: Unemployed (including full-time students),88
E01004734,Economically inactive,618
E01004735,Does not apply,210
E01004735,Economically active: In employment (including full-time students),973
E01004735,Economically active: Unemployed (including full-time students),81
E01004735,Economically inactive,763
E01004736,Does not apply,74
E01004736,Economically active: In employment (including full-time students),876
E01004736,Economically active: Unemployed (including full-time students),36
E01004736,Economically inactive,480
E01004737,Does not apply,224
E01004737,Economically active: In employment (including full-time students),591
E01004737,Economically active: Unemployed (including full-time students),48
E01004737,Economically inactive,357
E01004740,Does not apply,157
E01004740,Economically active: In employment (including full-time students),561
E01004740,Economically active: Unemployed (including full-time students),78
E01004740,Economically inactive,509
E01004741,Does not apply,161
E01004741,Economically active: In employment (including full-time students),714
E01004741,Economically active: Unemployed (including full-time students),63
E01004741,Economically inactive,350
E01004742,Does not apply,102
E01004742,Economically active: In employment (including full-time students),842
E01004742,Economically active: Unemployed (including full-time students),49
E01004742,Economically inactive,265
E01004743,Does not apply,210
E01004743,Economically active: In employment (including full-time students),749
E01004743,Economically active: Unemployed (including full-time students),56
E01004743,Economically inactive,485
E01004744,Does not apply,190
E01004744,Economically active: In employment (including full-time students),648
E01004744,Economically active: Unemployed (including full-time students),59
E01004744,Economically inactive,559
E01004746,Does not apply,165
E01004746,Economically active: In employment (including full-time students),569
E01004746,Economically active: Unemployed (including full-time students),79
E01004746,Economically inactive,435
E01004747,Does not apply,212
E01004747,Economically active: In employment (including full-time students),1147
E01004747,Economically active: Unemployed (including full-time students),94
E01004747,Economically inactive,726
E01004748,Does not apply,176
E01004748,Economically active: In employment (including full-time students),562
E01004748,Economically active: Unemployed (including full-time students),66
E01004748,Economically inactive,414
E01004749,Does not apply,237
E01004749,Economically active: In employment (including full-time students),1252
E01004749,Economically active: Unemployed (including full-time students),72
E01004749,Economically inactive,623
E01004750,Does not apply,163
E01004750,Economically active: In employment (including full-time students),718
E01004750,Economically active: Unemployed (including full-time students),60
E01004750,Economically inactive,641
E01004751,Does not apply,143
E01004751,Economically active: In employment (including full-time students),911
E01004751,Economically active: Unemployed (including full-time students),51
E01004751,Economically inactive,610
E01004752,Does not apply,135
E01004752,Economically active: In employment (including full-time students),782
E01004752,Economically active: Unemployed (including full-time students),55
E01004752,Economically inactive,390
E01004753,Does not apply,134
E01004753,Economically active: In employment (including full-time students),1036
E01004753,Economically active: Unemployed (including full-time students),46
E01004753,Economically inactive,539
E01004754,Does not apply,307
E01004754,Economically active: In employment (including full-time students),661
E01004754,Economically active: Unemployed (including full-time students),93
E01004754,Economically inactive,818
E01004755,Does not apply,392
E01004755,Economically active: In employment (including full-time students),1163
E01004755,Economically active: Unemployed (including full-time students),97
E01004755,Economically inactive,800
E01004756,Does not apply,197
E01004756,Economically active: In employment (including full-time students),861
E01004756,Economically active: Unemployed (including full-time students),90
E01004756,Economically inactive,375
E01004757,Does not apply,321
E01004757,Economically active: In employment (including full-time students),651
E01004757,Economically active: Unemployed (including full-time students),81
E01004757,Economically inactive,604
E01004760,Does not apply,222
E01004760,Economically active: In employment (including full-time students),843
E01004760,Economically active: Unemployed (including full-time students),150
E01004760,Economically inactive,473
E01004761,Does not apply,93
E01004761,Economically active: In employment (including full-time students),626
E01004761,Economically active: Unemployed (including full-time students),38
E01004761,Economically inactive,449
E01004762,Does not apply,141
E01004762,Economically active: In employment (including full-time students),756
E01004762,Economically active: Unemployed (including full-time students),43
E01004762,Economically inactive,609
E01004763,Does not apply,117
E01004763,Economically active: In employment (including full-time students),1174
E01004763,Economically active: Unemployed (including full-time students),83
E01004763,Economically inactive,642
E01004765,Does not apply,143
E01004765,Economically active: In employment (including full-time students),973
E01004765,Economically active: Unemployed (including full-time students),63
E01004765,Economically inactive,689
E01032512,Does not apply,511
E01032512,Economically active: In employment (including full-time students),875
E01032512,Economically active: Unemployed (including full-time students),158
E01032512,Economically inactive,841
E01032513,Does not apply,238
E01032513,Economically active: In employment (including full-time students),496
E01032513,Economically active: Unemployed (including full-time students),73
E01032513,Economically inactive,427
E01032562,Does not apply,424
E01032562,Economically active: In employment (including full-time students),706
E01032562,Economically active: Unemployed (including full-time students),55
E01032562,Economically inactive,432
E01032563,Does not apply,260
E01032563,Economically active: In employment (including full-time students),645
E01032563,Economically active: Unemployed (including full-time students),29
E01032563,Economically inactive,516
E01032564,Does not apply,302
E01032564,Economically active: In employment (including full-time students),595
E01032564,Economically active: Unemployed (including full-time students),53
E01032564,Economically inactive,353
E01032565,Does not apply,308
E01032565,Economically active: In employment (including full-time students),671
E01032565,Economically active: Unemployed (including full-time students),55
E01032565,Economically inactive,416
E01032566,Does not apply,377
E01032566,Economically active: In employment (including full-time students),891
E01032566,Economically active: Unemployed (including full-time students),58
E01032566,Economically inactive,560
E01032567,Does not apply,259
E01032567,Economically active: In employment (including full-time students),805
E01032567,Economically active: Unemployed (including full-time students),60
E01032567,Economically inactive,467
E01032568,Does not apply,289
E01032568,Economically active: In employment (including full-time students),741
E01032568,Economically active: Unemployed (including full-time students),67
E01032568,Economically inactive,428
E01032569,Does not apply,484
E01032569,Economically active: In employment (including full-time students),777
E01032569,Economically active: Unemployed (including full-time students),62
E01032569,Economically inactive,467
E01032570,Does not apply,322
E01032570,Economically active: In employment (including full-time students),739
E01032570,Economically active: Unemployed (including full-time students),37
E01032570,Economically inactive,638
E01032572,Does not apply,219
E01032572,Economically active: In employment (including full-time students),945
E01032572,Economically active: Unemployed (including full-time students),62
E01032572,Economically inactive,382
E01032573,Does not apply,229
E01032573,Economically active: In employment (including full-time students),1042
E01032573,Economically active: Unemployed (including full-time students),54
E01032573,Economically inactive,478
E01032574,Does not apply,506
E01032574,Economically active: In employment (including full-time students),861
E01032574,Economically active: Unemployed (including full-time students),104
E01032574,Economically inactive,600
E01032575,Does not apply,503
E01032575,Economically active: In employment (including full-time students),873
E01032575,Economically active: Unemployed (including full-time students),105
E01032575,Economically inactive,654
E01032576,Does not apply,337
E01032576,Economically active: In employment (including full-time students),855
E01032576,Economically active: Unemployed (including full-time students),51
E01032576,Economically inactive,436
E01032577,Does not apply,382
E01032577,Economically active: In employment (including full-time students),890
E01032577,Economically active: Unemployed (including full-time students),66
E01032577,Economically inactive,446
E01032579,Does not apply,340
E01032579,Economically active: In employment (including full-time students),1201
E01032579,Economically active: Unemployed (including full-time students),115
E01032579,Economically inactive,500
E01032580,Does not apply,423
E01032580,Economically active: In employment (including full-time students),634
E01032580,Economically active: Unemployed (including full-time students),60
E01032580,Economically inactive,430
E01032581,Does not apply,446
E01032581,Economically active: In employment (including full-time students),889
E01032581,Economically active: Unemployed (including full-time students),53
E01032581,Economically inactive,545
E01032582,Does not apply,263
E01032582,Economically active: In employment (including full-time students),1240
E01032582,Economically active: Unemployed (including full-time students),139
E01032582,Economically inactive,640
E01032583,Does not apply,303
E01032583,Economically active: In employment (including full-time students),1107
E01032583,Economically active: Unemployed (including full-time students),98
E01032583,Economically inactive,542
E01032584,Does not apply,164
E01032584,Economically active: In employment (including full-time students),682
E01032584,Economically active: Unemployed (including full-time students),78
E01032584,Economically inactive,424
E01032623,Does not apply,302
E01032623,Economically active: In employment (including full-time students),793
E01032623,Economically active: Unemployed (including full-time students),27
E01032623,Economically inactive,675
E01032637,Does not apply,32
E01032637,Economically active: In employment (including full-time students),778
E01032637,Economically active: Unemployed (including full-time students),48
E01032637,Economically inactive,190
E01032638,Does not apply,63
E01032638,Economically active: In employment (including full-time students),858
E01032638,Economically active: Unemployed (including full-time students),33
E01032638,Economically inactive,148
E01032639,Does not apply,177
E01032639,Economically active: In employment (including full-time students),1117
E01032639,Economically active: Unemployed (including full-time students),103
E01032639,Economically inactive,518
E01032640,Does not apply,49
E01032640,Economically active: In employment (including full-time students),829
E01032640,Economically active: Unemployed (including full-time students),26
E01032640,Economically inactive,131
E01032646,Does not apply,143
E01032646,Economically active: In employment (including full-time students),1053
E01032646,Economically active: Unemployed (including full-time students),56
E01032646,Economically inactive,264
E01032719,Does not apply,198
E01032719,Economically active: In employment (including full-time students),813
E01032719,Economically active: Unemployed (including full-time students),65
E01032719,Economically inactive,368
E01032739,Does not apply,73
E01032739,Economically active: In employment (including full-time students),1181
E01032739,Economically active: Unemployed (including full-time students),52
E01032739,Economically inactive,313
E01032740,Does not apply,50
E01032740,Economically active: In employment (including full-time students),928
E01032740,Economically active: Unemployed (including full-time students),57
E01032740,Economically inactive,359
E01032741,Does not apply,245
E01032741,Economically active: In employment (including full-time students),843
E01032741,Economically active: Unemployed (including full-time students),74
E01032741,Economically inactive,304
E01032742,Does not apply,304
E01032742,Economically active: In employment (including full-time students),923
E01032742,Economically active: Unemployed (including full-time students),53
E01032742,Economically inactive,487
E01032743,Does not apply,602
E01032743,Economically active: In employment (including full-time students),982
E01032743,Economically active: Unemployed (including full-time students),119
E01032743,Economically inactive,577
E01032744,Does not apply,348
E01032744,Economically active: In employment (including full-time students),651
E01032744,Economically active: Unemployed (including full-time students),67
E01032744,Economically inactive,546
E01032764,Does not apply,306
E01032764,Economically active: In employment (including full-time students),1430
E01032764,Economically active: Unemployed (including full-time students),209
E01032764,Economically inactive,416
E01032765,Does not apply,264
E01032765,Economically active: In employment (including full-time students),923
E01032765,Economically active: Unemployed (including full-time students),65
E01032765,Economically inactive,501
E01032767,Does not apply,63
E01032767,Economically active: In employment (including full-time students),1144
E01032767,Economically active: Unemployed (including full-time students),85
E01032767,Economically inactive,272
E01032768,Does not apply,129
E01032768,Economically active: In employment (including full-time students),995
E01032768,Economically active: Unemployed (including full-time students),35
E01032768,Economically inactive,162
E01032769,Does not apply,209
E01032769,Economically active: In employment (including full-time students),853
E01032769,Economically active: Unemployed (including full-time students),56
E01032769,Economically inactive,221
E01032770,Does not apply,234
E01032770,Economically active: In employment (including full-time students),1464
E01032770,Economically active: Unemployed (including full-time students),82
E01032770,Economically inactive,348
E01032771,Does not apply,182
E01032771,Economically active: In employment (including full-time students),959
E01032771,Economically active: Unemployed (including full-time students),54
E01032771,Economically inactive,351
E01032772,Does not apply,403
E01032772,Economically active: In employment (including full-time students),1249
E01032772,Economically active: Unemployed (including full-time students),129
E01032772,Economically inactive,626
E01032774,Does not apply,350
E01032774,Economically active: In employment (including full-time students),934
E01032774,Economically active: Unemployed (including full-time students),74
E01032774,Economically inactive,444
E01032775,Does not apply,184
E01032775,Economically active: In employment (including full-time students),800
E01032775,Economically active: Unemployed (including full-time students),49
E01032775,Economically inactive,154
E01032776,Does not apply,248
E01032776,Economically active: In employment (including full-time students),1366
E01032776,Economically active: Unemployed (including full-time students),91
E01032776,Economically inactive,362
E01032777,Does not apply,205
E01032777,Economically active: In employment (including full-time students),754
E01032777,Economically active: Unemployed (including full-time students),72
E01032777,Economically inactive,249
E01032779,Does not apply,248
E01032779,Economically active: In employment (including full-time students),891
E01032779,Economically active: Unemployed (including full-time students),68
E01032779,Economically inactive,197
E01032780,Does not apply,274
E01032780,Economically active: In employment (including full-time students),1349
E01032780,Economically active: Unemployed (including full-time students),76
E01032780,Economically inactive,358
E01032781,Does not apply,237
E01032781,Economically active: In employment (including full-time students),1019
E01032781,Economically active: Unemployed (including full-time students),65
E01032781,Economically inactive,369
E01032782,Does not apply,302
E01032782,Economically active: In employment (including full-time students),1400
E01032782,Economically active: Unemployed (including full-time students),93
E01032782,Economically inactive,453
E01032783,Does not apply,180
E01032783,Economically active: In employment (including full-time students),722
E01032783,Economically active: Unemployed (including full-time students),75
E01032783,Economically inactive,331
E01032784,Does not apply,226
E01032784,Economically active: In employment (including full-time students),1067
E01032784,Economically active: Unemployed (including full-time students),78
E01032784,Economically inactive,335
E01032785,Does not apply,599
E01032785,Economically active: In employment (including full-time students),1454
E01032785,Economically active: Unemployed (including full-time students),88
E01032785,Economically inactive,375
E01032786,Does not apply,411
E01032786,Economically active: In employment (including full-time students),683
E01032786,Economically active: Unemployed (including full-time students),70
E01032786,Economically inactive,450
E01032787,Does not apply,520
E01032787,Economically active: In employment (including full-time students),1067
E01032787,Economically active: Unemployed (including full-time students),120
E01032787,Economically inactive,748
E01032788,Does not apply,263
E01032788,Economically active: In employment (including full-time students),950
E01032788,Economically active: Unemployed (including full-time students),51
E01032788,Economically inactive,320
E01032789,Does not apply,217
E01032789,Economically active: In employment (including full-time students),672
E01032789,Economically active: Unemployed (including full-time students),56
E01032789,Economically inactive,257
E01032790,Does not apply,226
E01032790,Economically active: In employment (including full-time students),513
E01032790,Economically active: Unemployed (including full-time students),57
E01032790,Economically inactive,334
E01032803,Does not apply,153
E01032803,Economically active: In employment (including full-time students),1086
E01032803,Economically active: Unemployed (including full-time students),50
E01032803,Economically inactive,217
E01032834,Does not apply,43
E01032834,Economically active: In employment (including full-time students),798
E01032834,Economically active: Unemployed (including full-time students),31
E01032834,Economically inactive,154
E01033000,Does not apply,457
E01033000,Economically active: In employment (including full-time students),734
E01033000,Economically active: Unemployed (including full-time students),84
E01033000,Economically inactive,477
E01033030,Does not apply,494
E01033030,Economically active: In employment (including full-time students),993
E01033030,Economically active: Unemployed (including full-time students),81
E01033030,Economically inactive,284
E01033081,Does not apply,282
E01033081,Economically active: In employment (including full-time students),887
E01033081,Economically active: Unemployed (including full-time students),70
E01033081,Economically inactive,356
E01033082,Does not apply,210
E01033082,Economically active: In employment (including full-time students),567
E01033082,Economically active: Unemployed (including full-time students),70
E01033082,Economically inactive,414
E01033083,Does not apply,566
E01033083,Economically active: In employment (including full-time students),1151
E01033083,Economically active: Unemployed (including full-time students),90
E01033083,Economically inactive,411
E01033084,Does not apply,501
E01033084,Economically active: In employment (including full-time students),895
E01033084,Economically active: Unemployed (including full-time students),80
E01033084,Economically inactive,500
E01033086,Does not apply,228
E01033086,Economically active: In employment (including full-time students),498
E01033086,Economically active: Unemployed (including full-time students),59
E01033086,Economically inactive,405
E01033098,Does not apply,198
E01033098,Economically active: In employment (including full-time students),1158
E01033098,Economically active: Unemployed (including full-time students),58
E01033098,Economically inactive,295
E01033099,Does not apply,269
E01033099,Economically active: In employment (including full-time students),1236
E01033099,Economically active: Unemployed (including full-time students),62
E01033099,Economically inactive,319
E01033100,Does not apply,201
E01033100,Economically active: In employment (including full-time students),1160
E01033100,Economically active: Unemployed (including full-time students),96
E01033100,Economically inactive,408
E01033132,Does not apply,241
E01033132,Economically active: In employment (including full-time students),1349
E01033132,Economically active: Unemployed (including full-time students),91
E01033132,Economically inactive,356
E01033133,Does not apply,132
E01033133,Economically active: In employment (including full-time students),830
E01033133,Economically active: Unemployed (including full-time students),34
E01033133,Economically inactive,196
E01033135,Does not apply,224
E01033135,Economically active: In employment (including full-time students),753
E01033135,Economically active: Unemployed (including full-time students),29
E01033135,Economically inactive,182
E01033146,Does not apply,403
E01033146,Economically active: In employment (including full-time students),604
E01033146,Economically active: Unemployed (including full-time students),65
E01033146,Economically inactive,466
E01033148,Does not apply,540
E01033148,Economically active: In employment (including full-time students),963
E01033148,Economically active: Unemployed (including full-time students),106
E01033148,Economically inactive,605
E01033150,Does not apply,529
E01033150,Economically active: In employment (including full-time students),678
E01033150,Economically active: Unemployed (including full-time students),97
E01033150,Economically inactive,386
E01033151,Does not apply,386
E01033151,Economically active: In employment (including full-time students),504
E01033151,Economically active: Unemployed (including full-time students),58
E01033151,Economically inactive,503
E01033208,Does not apply,183
E01033208,Economically active: In employment (including full-time students),1065
E01033208,Economically active: Unemployed (including full-time students),69
E01033208,Economically inactive,390
E01033320,Does not apply,287
E01033320,Economically active: In employment (including full-time students),819
E01033320,Economically active: Unemployed (including full-time students),91
E01033320,Economically inactive,372
E01033322,Does not apply,234
E01033322,Economically active: In employment (including full-time students),758
E01033322,Economically active: Unemployed (including full-time students),50
E01033322,Economically inactive,215
E01033324,Does not apply,268
E01033324,Economically active: In employment (including full-time students),778
E01033324,Economically active: Unemployed (including full-time students),64
E01033324,Economically inactive,429
E01033325,Does not apply,143
E01033325,Economically active: In employment (including full-time students),1023
E01033325,Economically active: Unemployed (including full-time students),73
E01033325,Economically inactive,128
E01033327,Does not apply,315
E01033327,Economically active: In employment (including full-time students),1305
E01033327,Economically active: Unemployed (including full-time students),142
E01033327,Economically inactive,443
E01033341,Does not apply,262
E01033341,Economically active: In employment (including full-time students),632
E01033341,Economically active: Unemployed (including full-time students),93
E01033341,Economically inactive,337
E01033455,Does not apply,236
E01033455,Economically active: In employment (including full-time students),520
E01033455,Economically active: Unemployed (including full-time students),50
E01033455,Economically inactive,336
E01033456,Does not apply,596
E01033456,Economically active: In employment (including full-time students),975
E01033456,Economically active: Unemployed (including full-time students),157
E01033456,Economically inactive,896
E01033457,Does not apply,374
E01033457,Economically active: In employment (including full-time students),1052
E01033457,Economically active: Unemployed (including full-time students),54
E01033457,Economically inactive,501
E01033463,Does not apply,502
E01033463,Economically active: In employment (including full-time students),1617
E01033463,Economically active: Unemployed (including full-time students),87
E01033463,Economically inactive,949
E01033485,Does not apply,273
E01033485,Economically active: In employment (including full-time students),783
E01033485,Economically active: Unemployed (including full-time students),87
E01033485,Economically inactive,495
E01033486,Does not apply,163
E01033486,Economically active: In employment (including full-time students),503
E01033486,Economically active: Unemployed (including full-time students),65
E01033486,Economically inactive,305
E01033487,Does not apply,137
E01033487,Economically active: In employment (including full-time students),892
E01033487,Economically active: Unemployed (including full-time students),36
E01033487,Economically inactive,132
E01033488,Does not apply,189
E01033488,Economically active: In employment (including full-time students),839
E01033488,Economically active: Unemployed (including full-time students),60
E01033488,Economically inactive,557
E01033489,Does not apply,100
E01033489,Economically active: In employment (including full-time students),866
E01033489,Economically active: Unemployed (including full-time students),58
E01033489,Economically inactive,436
E01033490,Does not apply,146
E01033490,Economically active: In employment (including full-time students),657
E01033490,Economically active: Unemployed (including full-time students),57
E01033490,Economically inactive,539
E01033491,Does not apply,223
E01033491,Economically active: In employment (including full-time students),1196
E01033491,Economically active: Unemployed (including full-time students),91
E01033491,Economically inactive,422
E01033493,Does not apply,113
E01033493,Economically active: In employment (including full-time students),1027
E01033493,Economically active: Unemployed (including full-time students),32
E01033493,Economically inactive,142
E01033494,Does not apply,256
E01033494,Economically active: In employment (including full-time students),893
E01033494,Economically active: Unemployed (including full-time students),78
E01033494,Economically inactive,307
E01033569,Does not apply,355
E01033569,Economically active: In employment (including full-time students),969
E01033569,Economically active: Unemployed (including full-time students),63
E01033569,Economically inactive,430
E01033570,Does not apply,411
E01033570,Economically active: In employment (including full-time students),1007
E01033570,Economically active: Unemployed (including full-time students),82
E01033570,Economically inactive,404
E01033571,Does not apply,272
E01033571,Economically active: In employment (including full-time students),702
E01033571,Economically active: Unemployed (including full-time students),41
E01033571,Economically inactive,481
E01033579,Does not apply,188
E01033579,Economically active: In employment (including full-time students),1316
E01033579,Economically active: Unemployed (including full-time students),94
E01033579,Economically inactive,288
E01033580,Does not apply,226
E01033580,Economically active: In employment (including full-time students),958
E01033580,Economically active: Unemployed (including full-time students),47
E01033580,Economically inactive,181
E01033581,Does not apply,456
E01033581,Economically active: In employment (including full-time students),888
E01033581,Economically active: Unemployed (including full-time students),113
E01033581,Economically inactive,465
E01033582,Does not apply,251
E01033582,Economically active: In employment (including full-time students),945
E01033582,Economically active: Unemployed (including full-time students),66
E01033582,Economically inactive,187
E01033584,Does not apply,375
E01033584,Economically active: In employment (including full-time students),720
E01033584,Economically active: Unemployed (including full-time students),90
E01033584,Economically inactive,517
E01033586,Does not apply,316
E01033586,Economically active: In employment (including full-time students),1209
E01033586,Economically active: Unemployed (including full-time students),128
E01033586,Economically inactive,447
E01033587,Does not apply,675
E01033587,Economically active: In employment (including full-time students),1246
E01033587,Economically active: Unemployed (including full-time students),106
E01033587,Economically inactive,427
E01033589,Does not apply,631
E01033589,Economically active: In employment (including full-time students),789
E01033589,Economically active: Unemployed (including full-time students),91
E01033589,Economically inactive,443
E01033590,Does not apply,402
E01033590,Economically active: In employment (including full-time students),531
E01033590,Economically active: Unemployed (including full-time students),39
E01033590,Economically inactive,277
E01033591,Does not apply,773
E01033591,Economically active: In employment (including full-time students),1267
E01033591,Economically active: Unemployed (including full-time students),120
E01033591,Economically inactive,817
E01033592,Does not apply,470
E01033592,Economically active: In employment (including full-time students),903
E01033592,Economically active: Unemployed (including full-time students),66
E01033592,Economically inactive,545
E01033593,Does not apply,248
E01033593,Economically active: In employment (including full-time students),907
E01033593,Economically active: Unemployed (including full-time students),69
E01033593,Economically inactive,508
E01033594,Does not apply,116
E01033594,Economically active: In employment (including full-time students),692
E01033594,Economically active: Unemployed (including full-time students),46
E01033594,Economically inactive,648
E01033597,Does not apply,131
E01033597,Economically active: In employment (including full-time students),503
E01033597,Economically active: Unemployed (including full-time students),49
E01033597,Economically inactive,323
E01033598,Does not apply,208
E01033598,Economically active: In employment (including full-time students),465
E01033598,Economically active: Unemployed (including full-time students),60
E01033598,Economically inactive,633
E01033599,Does not apply,235
E01033599,Economically active: In employment (including full-time students),566
E01033599,Economically active: Unemployed (including full-time students),85
E01033599,Economically inactive,414
E01033601,Does not apply,394
E01033601,Economically active: In employment (including full-time students),736
E01033601,Economically active: Unemployed (including full-time students),80
E01033601,Economically inactive,771
E01033602,Does not apply,293
E01033602,Economically active: In employment (including full-time students),516
E01033602,Economically active: Unemployed (including full-time students),78
E01033602,Economically inactive,640
E01033603,Does not apply,154
E01033603,Economically active: In employment (including full-time students),588
E01033603,Economically active: Unemployed (including full-time students),66
E01033603,Economically inactive,458
E01033604,Does not apply,153
E01033604,Economically active: In employment (including full-time students),516
E01033604,Economically active: Unemployed (including full-time students),63
E01033604,Economically inactive,449
E01033605,Does not apply,276
E01033605,Economically active: In employment (including full-time students),601
E01033605,Economically active: Unemployed (including full-time students),101
E01033605,Economically inactive,662
E01033699,Does not apply,138
E01033699,Economically active: In employment (including full-time students),1004
E01033699,Economically active: Unemployed (including full-time students),49
E01033699,Economically inactive,223
E01033700,Does not apply,243
E01033700,Economically active: In employment (including full-time students),1770
E01033700,Economically active: Unemployed (including full-time students),103
E01033700,Economically inactive,373
E01033702,Does not apply,391
E01033702,Economically active: In employment (including full-time students),658
E01033702,Economically active: Unemployed (including full-time students),50
E01033702,Economically inactive,352
E01033703,Does not apply,201
E01033703,Economically active: In employment (including full-time students),782
E01033703,Economically active: Unemployed (including full-time students),62
E01033703,Economically inactive,366
E01033704,Does not apply,259
E01033704,Economically active: In employment (including full-time students),1696
E01033704,Economically active: Unemployed (including full-time students),135
E01033704,Economically inactive,253
E01033705,Does not apply,304
E01033705,Economically active: In employment (including full-time students),672
E01033705,Economically active: Unemployed (including full-time students),67
E01033705,Economically inactive,391
E01033706,Does not apply,101
E01033706,Economically active: In employment (including full-time students),1039
E01033706,Economically active: Unemployed (including full-time students),75
E01033706,Economically inactive,232
E01033708,Does not apply,82
E01033708,Economically active: In employment (including full-time students),1263
E01033708,Economically active: Unemployed (including full-time students),96
E01033708,Economically inactive,428
E01033709,Does not apply,292
E01033709,Economically active: In employment (including full-time students),1100
E01033709,Economically active: Unemployed (including full-time students),78
E01033709,Economically inactive,361
E01033710,Does not apply,237
E01033710,Economically active: In employment (including full-time students),634
E01033710,Economically active: Unemployed (including full-time students),54
E01033710,Economically inactive,209
E01033711,Does not apply,92
E01033711,Economically active: In employment (including full-time students),1151
E01033711,Economically active: Unemployed (including full-time students),104
E01033711,Economically inactive,566
E01033712,Does not apply,259
E01033712,Economically active: In employment (including full-time students),902
E01033712,Economically active: Unemployed (including full-time students),58
E01033712,Economically inactive,324
E01033713,Does not apply,180
E01033713,Economically active: In employment (including full-time students),844
E01033713,Economically active: Unemployed (including full-time students),55
E01033713,Economically inactive,241
E01033727,Does not apply,368
